date,Administratif,Aéronautique,Agriculture,Agro-alimentaire,Animation,Architecture,Artisanat,Assistante de direction,Assurances,Audiovisuel,Audit,Automobile,Autres,Aviation,Banque,Biologie,Call Center,Chimie,Commerce,Communication,Comptabilité,Confection,Consulting,Cosmétique,Cuisine,Décor,Documentation,Droit,Economie,Energie,Enseignement,Finance,Fiscalité,Génie civil,Génie électrique,Gestion,Hydraulique,Immobilier,Import / Export,Industrie électro-mécaniques,Industrie Métalliques,Informatique,Journalisme,Langues,Logistique,Maintenance industrielle,Management,Marketing,Plasturgie,Production,Psychologie,Rédaction,Ressources Humaines,Santé,Sécurité,Sport,Statistiques,Telecommunication,Textile,Tourisme,Traduction,Transport,pib,chomage,Freelance,Secteur privé,Secteur public
11/17,31,2,2,0,0,6,0,6,0,0,1,1,11,0,2,0,7,0,42,4,14,1,1,3,8,0,1,0,0,2,12,4,0,6,2,4,0,1,0,3,3,68,1,0,1,5,1,6,0,4,0,5,1,4,1,0,0,2,0,9,0,1,-4.95,15.33,11,259,2
12/17,26,0,0,1,0,2,0,9,0,0,4,1,9,0,0,0,4,0,45,4,9,1,1,0,0,2,1,1,0,1,3,5,0,6,3,2,0,0,1,13,4,82,2,0,1,5,1,6,0,4,0,1,5,6,3,0,0,1,1,14,1,2,-4.95,15.33,3,252,0
01/18,17,1,0,1,0,4,1,9,1,1,2,2,11,0,1,0,13,1,31,4,13,1,2,1,5,0,0,0,0,1,6,7,1,0,3,7,0,3,1,8,2,82,1,1,3,3,0,4,0,5,0,3,3,7,1,2,1,2,2,7,1,4,1.24,15.46,5,264,4
02/18,23,2,0,4,1,6,0,10,2,0,1,1,5,0,1,0,15,2,23,4,7,0,4,1,1,0,0,0,0,0,6,9,0,1,3,7,1,1,1,9,0,72,1,1,4,1,0,6,0,4,0,3,4,2,3,0,0,3,5,11,0,4,1.24,15.46,6,247,3
03/18,17,1,1,2,0,1,0,8,1,3,0,0,9,0,1,0,11,1,36,7,15,2,4,2,4,3,1,1,0,2,5,5,1,11,2,2,0,0,1,7,0,80,0,1,1,3,1,7,1,1,0,2,3,3,0,0,0,0,3,9,0,4,1.24,15.46,5,263,1
04/18,15,0,2,0,0,2,0,4,0,2,1,0,5,0,3,1,10,0,37,7,11,2,0,1,2,0,0,1,0,0,6,2,0,4,3,0,0,2,0,6,4,92,2,0,1,3,4,5,0,6,0,2,6,7,2,2,0,1,0,5,0,2,1.24,15.46,5,244,2
05/18,18,0,0,1,4,3,0,7,0,2,0,9,10,1,1,0,13,0,35,4,8,1,5,1,3,1,0,0,0,0,2,2,0,3,5,2,0,3,0,6,3,85,1,2,3,4,2,5,0,2,0,3,4,4,4,0,0,1,4,10,0,2,1.24,15.46,5,262,1
06/18,9,0,0,0,1,4,0,5,2,1,1,3,9,0,1,0,4,1,31,6,7,1,0,3,2,0,0,1,0,0,11,3,0,1,4,4,0,1,0,11,1,55,1,0,1,5,3,1,2,3,1,0,6,1,0,0,0,0,1,13,0,4,1.24,15.46,0,210,4
07/18,11,2,1,0,0,1,0,6,0,2,0,2,2,1,0,0,8,0,29,5,7,0,1,0,3,0,0,0,0,1,1,2,1,2,3,2,0,0,0,2,1,50,1,0,4,3,3,2,0,8,0,1,4,3,0,0,0,1,2,3,0,2,1.24,15.46,4,164,3
08/18,11,0,0,3,3,3,0,2,0,2,1,4,6,0,5,1,10,0,36,0,6,1,2,3,6,0,1,3,0,1,3,6,0,12,3,2,0,0,0,3,3,63,0,2,2,2,3,8,0,4,1,0,1,8,0,3,1,1,0,12,0,2,1.24,15.46,3,228,0
